c1,c2,c3,place,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Solrød,521,544,510,555,612,618,649,656,647,670
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Faxe,624,613,592,675,726,753,859,946,948,979
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Guldborgsund,734,747,739,825,852,945,1067,1161,1138,1249
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Holbæk,1229,1325,1384,1387,1481,1574,1640,1812,1779,1954
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Kalundborg,799,829,880,887,949,958,1059,1118,1142,1148
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Lolland,387,359,369,405,439,473,576,624,658,749
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Næstved,1332,1310,1404,1518,1559,1625,1867,1877,1979,2134
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Odsherred,403,442,480,472,523,536,590,602,674,770
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Ringsted,591,588,644,702,749,748,829,887,866,962
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Slagelse,1133,1177,1274,1379,1410,1445,1557,1691,1805,1869
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Sorø,528,540,576,586,649,649,702,739,736,762
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Stevns,368,397,411,457,474,509,556,586,610,627
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Vordingborg,635,625,671,723,738,783,844,937,926,981
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Assens,605,651,671,702,755,801,850,909,945,997
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Faaborg-Midtfyn,685,699,763,874,952,1015,1151,1279,1302,1388
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Kerteminde,334,357,422,425,443,453,514,590,581,626
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Langeland,119,115,118,120,132,143,162,173,174,195
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Middelfart,640,692,711,743,756,797,918,979,1011,1015
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Nordfyns,408,408,476,492,547,526,560,653,695,719
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Nyborg,416,485,471,517,523,557,682,691,697,777
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Odense,2643,2843,2919,3143,3305,3439,3728,3854,3895,4250
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Svendborg,826,885,924,954,998,1092,1154,1267,1285,1397
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Ærø,64,64,54,74,86,74,90,95,93,99
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Billund,417,435,444,481,522,579,607,652,655,693
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Esbjerg,1813,1911,1938,2043,2171,2274,2475,2581,2721,2769
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Fanø,45,54,62,67,68,63,62,69,64,80
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Fredericia,768,821,864,933,972,1013,1051,1061,1112,1202
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Haderslev,759,858,905,963,1007,1056,1086,1234,1183,1302
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Kolding,1545,1571,1644,1699,1837,1873,2014,2210,2162,2278
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Sønderborg,1069,1118,1109,1193,1272,1330,1429,1507,1507,1643
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Tønder,458,497,486,565,597,596,606,694,697,714
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Varde,781,892,894,953,1038,1031,1180,1161,1186,1278
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Vejen,620,625,694,752,820,829,895,1007,1079,1080
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Vejle,1912,2018,2111,2272,2302,2407,2636,2790,2826,3044
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Aabenraa,790,848,813,932,986,995,1136,1157,1229,1260
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Favrskov,958,945,1058,1092,1124,1199,1308,1407,1380,1499
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Hedensted,766,834,870,938,1010,1024,1165,1278,1300,1425
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Horsens,1331,1379,1556,1667,1785,1830,1965,2112,2132,2381
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Norddjurs,471,492,531,574,606,655,704,820,784,877
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Odder,392,434,443,458,463,499,565,602,667,676
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Randers,1395,1409,1497,1560,1696,1838,1974,2211,2224,2421
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Samsø,42,36,40,48,41,48,59,61,56,61
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Silkeborg,1727,1750,1794,1893,2014,2133,2280,2430,2600,2611
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Skanderborg,1325,1424,1456,1477,1645,1731,1785,1872,1910,1931
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Syddjurs,678,728,770,836,855,909,1002,1064,1062,1203
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Aarhus,5017,5269,5449,5783,5965,6247,6527,6732,6850,7103
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Herning,1376,1478,1572,1639,1677,1745,1932,2056,2118,2404
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Holstebro,865,950,945,1118,1167,1188,1335,1428,1450,1544
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Ikast-Brande,571,622,671,742,799,859,939,1024,1020,1114
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Lemvig,332,369,391,409,348,392,411,439,436,463
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Ringkøbing-Skjern,858,958,978,1046,1125,1149,1231,1348,1344,1468
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Skive,570,625,666,797,810,862,955,1018,1024,1136
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Struer,308,292,301,315,346,343,395,447,476,507
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Viborg,1520,1549,1772,1817,1952,2054,2277,2344,2329,2541
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Brønderslev,500,562,560,637,677,734,789,865,920,983
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Frederikshavn,803,874,916,985,1023,1051,1151,1304,1292,1403
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Hjørring,905,950,1016,1111,1163,1213,1255,1368,1396,1600
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Jammerbugt,520,571,609,642,695,751,898,944,974,962
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Læsø,13,14,27,22,23,32,31,29,34,33
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Mariagerfjord,662,678,701,743,792,759,881,984,1016,1073
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Morsø,237,235,246,289,288,362,358,385,404,463
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Rebild,552,574,594,628,712,754,805,875,858,916
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Thisted,579,594,611,685,731,759,882,931,876,998
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Vesthimmerlands,471,494,515,585,681,648,747,857,790,890
Families in the group (Number),"900,000 - 999,000 DKK","Families, total",Aalborg,3170,3414,3570,3661,3823,4110,4654,4748,4925,5207
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",All Denmark,86055,89441,92860,97747,102470,106268,113268,118503,120653,125606
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Copenhagen,7118,7349,7769,8274,8826,9242,9762,9922,10322,10525
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Frederiksberg,1590,1681,1631,1715,1657,1668,1705,1689,1615,1612
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Dragør,326,307,330,318,300,319,306,319,299,267
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Tårnby,844,918,969,988,1048,1103,1085,1043,1033,961
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Albertslund,409,426,450,472,475,485,523,519,591,608
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Ballerup,797,803,826,868,874,855,904,938,1004,1013
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Brøndby,513,498,513,526,581,574,613,693,728,729
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Gentofte,1096,1019,1024,1009,985,1021,889,922,916,838
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Gladsaxe,1219,1195,1191,1215,1258,1223,1136,1168,1243,1195
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Glostrup,394,382,379,431,423,467,457,466,451,482
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Herlev,466,492,514,529,543,582,568,580,574,631
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Hvidovre,908,979,956,996,1053,1064,1109,1090,1091,1064
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Høje-Taastrup,800,808,830,895,909,953,1058,1130,1174,1360
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Ishøj,253,269,278,311,323,358,345,420,396,395
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Lyngby-Taarbæk,851,837,854,827,781,786,765,744,768,766
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Rødovre,659,664,683,744,775,785,857,884,840,945
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Vallensbæk,316,335,354,368,349,364,377,379,420,427
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Allerød,582,577,582,607,601,600,555,521,562,504
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Egedal,1151,1124,1178,1135,1167,1236,1227,1306,1323,1221
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Fredensborg,766,753,757,739,818,815,841,849,899,882
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Frederikssund,883,915,966,916,1002,983,986,1100,1098,1088
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Furesø,821,809,770,770,769,791,754,754,764,741
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Gribskov,746,760,857,752,856,886,938,967,968,1010
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Halsnæs,488,545,569,621,612,588,681,752,766,796
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Helsingør,1000,1042,1036,1074,1199,1236,1325,1324,1348,1350
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Hillerød,1005,1010,1045,1045,1095,1128,1144,1193,1236,1153
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Hørsholm,414,399,385,389,363,373,338,343,342,357
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Rudersdal,873,933,883,867,817,835,883,765,783,736
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Bornholm,372,378,419,458,537,509,627,679,663,719
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Greve,1060,1068,1108,1101,1175,1194,1207,1239,1290,1255
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Køge,1085,1067,1093,1187,1204,1268,1405,1414,1441,1478
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Lejre,614,626,630,653,668,676,707,740,746,812
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Roskilde,1602,1715,1721,1781,1875,1852,1847,1886,1883,1919
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Solrød,494,520,476,518,580,578,598,595,587,603
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Faxe,608,593,572,651,692,733,811,893,894,905
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Guldborgsund,708,718,712,797,797,901,1015,1103,1081,1170
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Holbæk,1184,1280,1334,1338,1420,1486,1545,1693,1632,1801
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Kalundborg,777,794,848,850,912,915,1002,1059,1066,1037
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Lolland,377,348,357,389,423,459,547,596,636,713
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Næstved,1285,1276,1358,1469,1496,1546,1757,1768,1858,1981
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Odsherred,383,421,464,453,502,512,561,570,637,710
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Ringsted,577,580,628,682,718,714,792,843,813,896
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Slagelse,1092,1143,1234,1329,1360,1392,1471,1609,1706,1733
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Sorø,508,519,554,559,620,622,665,696,694,704
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Stevns,355,380,396,438,455,489,533,542,568,582
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Vordingborg,613,605,652,693,701,745,786,869,862,896
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Assens,591,628,651,683,732,768,819,878,909,946
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Faaborg-Midtfyn,658,681,740,845,929,993,1101,1230,1250,1321
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Kerteminde,325,344,407,413,429,435,494,573,547,595
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Langeland,114,107,111,117,127,138,159,165,166,178
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Middelfart,620,670,678,715,719,769,878,931,961,951
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Nordfyns,401,398,461,481,524,508,541,628,658,679
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Nyborg,402,469,454,491,497,532,656,649,662,744
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Odense,2539,2726,2784,2997,3144,3269,3523,3622,3650,3929
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Svendborg,791,839,879,905,955,1036,1102,1203,1226,1314
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Ærø,60,61,51,69,82,70,85,87,86,87
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Billund,406,422,430,462,509,560,583,619,618,652
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Esbjerg,1757,1847,1868,1955,2085,2171,2358,2447,2559,2570
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Fanø,42,50,59,62,62,55,59,65,61,69
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Fredericia,750,794,834,896,933,977,991,1004,1042,1113
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Haderslev,742,828,864,920,973,1014,1036,1176,1137,1243
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Kolding,1483,1501,1568,1624,1767,1776,1902,2057,2031,2116
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Sønderborg,1042,1088,1076,1134,1215,1274,1353,1424,1437,1547
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Tønder,444,482,474,552,576,583,581,668,670,679
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Varde,762,872,869,930,1004,1001,1131,1108,1120,1218
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Vejen,609,606,683,740,797,797,858,958,1036,1020
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Vejle,1833,1939,2026,2173,2197,2299,2481,2633,2646,2806
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Aabenraa,765,817,787,902,958,960,1091,1095,1171,1190
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Favrskov,939,924,1027,1060,1097,1159,1262,1336,1321,1420
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Hedensted,748,809,850,903,979,983,1123,1218,1247,1362
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Horsens,1295,1329,1502,1606,1726,1762,1882,2010,2029,2266
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Norddjurs,459,476,520,558,578,639,687,787,760,827
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Odder,380,418,426,434,439,478,543,583,645,647
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Randers,1365,1363,1461,1509,1637,1776,1909,2118,2113,2280
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Samsø,41,34,38,46,38,44,56,59,51,58
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Silkeborg,1676,1699,1737,1826,1932,2057,2190,2316,2476,2459
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Skanderborg,1298,1385,1402,1422,1582,1657,1707,1763,1800,1807
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Syddjurs,645,698,749,806,825,878,959,1001,1026,1140
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Aarhus,4738,4995,5134,5460,5602,5872,6073,6161,6293,6379
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Herning,1342,1426,1527,1588,1630,1689,1846,1948,2020,2276
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Holstebro,842,926,920,1082,1135,1154,1294,1372,1407,1492
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Ikast-Brande,555,602,658,721,780,828,905,973,981,1066
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Lemvig,322,355,373,393,329,381,399,421,413,443
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Ringkøbing-Skjern,834,927,960,1014,1085,1106,1182,1304,1294,1385
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Skive,554,605,648,775,795,844,925,979,996,1086
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Struer,299,285,291,311,338,336,385,428,458,475
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Viborg,1465,1517,1711,1767,1882,1979,2198,2229,2215,2389
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Brønderslev,490,548,543,612,662,715,770,846,897,952
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Frederikshavn,771,843,877,951,987,1016,1114,1255,1236,1333
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Hjørring,868,898,973,1074,1121,1171,1209,1313,1328,1521
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Jammerbugt,508,558,592,633,673,735,870,909,935,930
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Læsø,12,12,25,20,22,30,30,28,26,29
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Mariagerfjord,642,658,685,719,766,719,836,949,968,1016
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Morsø,233,231,239,280,284,352,349,370,383,456
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Rebild,543,559,578,607,686,731,777,848,825,880
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Thisted,564,583,596,670,713,736,855,887,836,946
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Vesthimmerlands,462,480,502,569,659,633,722,831,764,865
Families in the group (Number),"900,000 - 999,000 DKK","Couples, total",Aalborg,3047,3269,3425,3517,3676,3912,4422,4467,4656,4884
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",All Denmark,4476,4972,5346,5909,6386,6953,8530,10017,10257,13073
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Copenhagen,780,885,934,1100,1207,1344,1703,1978,2071,2619
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Frederiksberg,220,265,297,305,304,361,429,487,461,643
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Dragør,23,28,35,30,24,28,33,39,42,50
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Tårnby,36,41,37,44,40,29,63,66,68,100
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Albertslund,18,22,22,21,20,15,32,34,34,54
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Ballerup,52,40,46,50,43,62,75,80,94,110
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Brøndby,19,23,18,16,13,17,28,26,35,58
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Gentofte,232,275,251,259,273,281,317,350,359,409
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Gladsaxe,76,83,81,76,127,123,167,174,181,244
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Glostrup,21,22,16,18,24,24,37,41,44,54
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Herlev,19,22,27,36,35,29,50,42,59,69
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Hvidovre,39,32,39,40,47,53,66,95,89,120
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Høje-Taastrup,42,36,36,39,38,42,63,69,81,112
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Ishøj,12,13,17,15,18,15,22,37,28,36
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Lyngby-Taarbæk,123,126,145,145,151,180,160,202,202,229
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Rødovre,24,24,29,37,36,49,59,76,67,106
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Vallensbæk,12,19,16,21,25,18,33,36,40,60
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Allerød,52,52,61,62,56,57,62,72,69,80
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Egedal,38,58,51,69,66,79,91,80,102,124
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Fredensborg,46,54,60,66,84,89,92,112,119,134
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Frederikssund,38,31,43,47,53,72,82,91,80,133
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Furesø,86,75,87,96,79,106,104,120,115,172
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Gribskov,41,47,40,51,60,54,57,67,71,95
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Halsnæs,10,16,27,31,35,31,39,44,58,56
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Helsingør,67,80,66,71,96,98,121,142,126,180
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Hillerød,52,54,82,95,93,73,109,137,149,159
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Hørsholm,69,72,81,80,98,81,85,87,97,120
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Rudersdal,128,160,185,167,168,180,205,234,208,260
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Bornholm,11,13,19,23,24,24,34,26,38,51
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Greve,51,45,66,70,84,87,92,106,106,129
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Køge,47,53,60,69,72,82,97,124,119,157
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Lejre,20,29,25,34,36,39,53,53,65,75
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Roskilde,91,89,103,126,119,143,173,223,202,289
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Solrød,27,24,34,37,32,40,51,61,60,67
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Faxe,16,20,20,24,34,20,48,53,54,74
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Guldborgsund,26,29,27,28,55,44,52,58,57,79
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Holbæk,45,45,50,49,61,88,95,119,147,153
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Kalundborg,22,35,32,37,37,43,57,59,76,111
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Lolland,10,11,12,16,16,14,29,28,22,36
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Næstved,47,34,46,49,63,79,110,109,121,153
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Odsherred,20,21,16,19,21,24,29,32,37,60
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Ringsted,14,8,16,20,31,34,37,44,53,66
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Slagelse,41,34,40,50,50,53,86,82,99,136
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Sorø,20,21,22,27,29,27,37,43,42,58
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Stevns,13,17,15,19,19,20,23,44,42,45
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Vordingborg,22,20,19,30,37,38,58,68,64,85
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Assens,14,23,20,19,23,33,31,31,36,51
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Faaborg-Midtfyn,27,18,23,29,23,22,50,49,52,67
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Kerteminde,9,13,15,12,14,18,20,17,34,31
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Langeland,5,8,7,..,5,5,..,8,8,17
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Middelfart,20,22,33,28,37,28,40,48,50,64
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Nordfyns,7,10,15,11,23,18,19,25,37,40
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Nyborg,14,16,17,26,26,25,26,42,35,33
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Odense,104,117,135,146,161,170,205,232,245,321
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Svendborg,35,46,45,49,43,56,52,64,59,83
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Ærø,..,..,..,5,..,..,5,8,7,12
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Billund,11,13,14,19,13,19,24,33,37,41
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Esbjerg,56,64,70,88,86,103,117,134,162,199
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Fanø,..,..,..,5,6,8,..,..,..,11
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Fredericia,18,27,30,37,39,36,60,57,70,89
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Haderslev,17,30,41,43,34,42,50,58,46,59
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Kolding,62,70,76,75,70,97,112,153,131,162
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Sønderborg,27,30,33,59,57,56,76,83,70,96
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Tønder,14,15,12,13,21,13,25,26,27,35
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Varde,19,20,25,23,34,30,49,53,66,60
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Vejen,11,19,11,12,23,32,37,49,43,60
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Vejle,79,79,85,99,105,108,155,157,180,238
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Aabenraa,25,31,26,30,28,35,45,62,58,70
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Favrskov,19,21,31,32,27,40,46,71,59,79
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Hedensted,18,25,20,35,31,41,42,60,53,63
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Horsens,36,50,54,61,59,68,83,102,103,115
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Norddjurs,12,16,11,16,28,16,17,33,24,50
Families in the group (Number),"900,000 - 999,000 DKK","Single people, total",Odder,12,16,17,24,24,21,22,19,22,29
