c1,c2,c3,place,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Families in the group (Number),Total,"Couples, total",Slagelse,18466,18651,18771,18783,18805,18762,18653,18677,18626,18554
Families in the group (Number),Total,"Couples, total",Sorø,7264,7299,7321,7334,7325,7343,7367,7407,7430,7401
Families in the group (Number),Total,"Couples, total",Stevns,5799,5833,5895,5949,5960,6013,6098,6109,6110,6115
Families in the group (Number),Total,"Couples, total",Vordingborg,10995,11065,11072,11067,11024,10864,10865,10858,10765,10657
Families in the group (Number),Total,"Couples, total",Assens,10635,10659,10707,10700,10652,10558,10534,10567,10506,10349
Families in the group (Number),Total,"Couples, total",Faaborg-Midtfyn,13078,13146,13219,13269,13282,13279,13318,13337,13399,13372
Families in the group (Number),Total,"Couples, total",Kerteminde,6121,6139,6127,6145,6141,6163,6168,6252,6189,6121
Families in the group (Number),Total,"Couples, total",Langeland,3300,3253,3225,3245,3163,3159,3144,3115,3109,3054
Families in the group (Number),Total,"Couples, total",Middelfart,9787,9805,9916,9945,10014,10145,10235,10328,10350,10427
Families in the group (Number),Total,"Couples, total",Nordfyns,7556,7580,7649,7680,7747,7722,7720,7746,7722,7662
Families in the group (Number),Total,"Couples, total",Nyborg,7920,7966,8055,7994,7991,7992,7967,8021,7986,7951
Families in the group (Number),Total,"Couples, total",Odense,44523,44661,45271,45584,45598,45905,46047,45827,45871,46241
Families in the group (Number),Total,"Couples, total",Svendborg,14139,14101,14126,14142,14058,14066,14072,14159,14132,14111
Families in the group (Number),Total,"Couples, total",Ærø,1590,1557,1532,1529,1513,1491,1474,1484,1455,1439
Families in the group (Number),Total,"Couples, total",Billund,6673,6659,6709,6733,6751,6761,6739,6751,6750,6759
Families in the group (Number),Total,"Couples, total",Esbjerg,28358,28343,28527,28548,28539,28392,28382,28218,28050,27871
Families in the group (Number),Total,"Couples, total",Fanø,847,856,871,865,874,893,888,886,862,861
Families in the group (Number),Total,"Couples, total",Fredericia,12257,12317,12392,12418,12429,12421,12401,12425,12472,12525
Families in the group (Number),Total,"Couples, total",Haderslev,13906,13970,14041,14055,13978,13892,13811,13702,13619,13590
Families in the group (Number),Total,"Couples, total",Kolding,22099,22325,22472,22617,22682,22730,22731,22716,22713,22744
Families in the group (Number),Total,"Couples, total",Sønderborg,18857,18828,18863,18830,18760,18546,18440,18382,18245,18149
Families in the group (Number),Total,"Couples, total",Tønder,9780,9743,9736,9709,9677,9566,9504,9414,9250,9174
Families in the group (Number),Total,"Couples, total",Varde,13055,13039,13144,13050,13046,13029,12962,12967,12876,12827
Families in the group (Number),Total,"Couples, total",Vejen,10899,10922,10977,10968,10957,10890,10909,10830,10795,10802
Families in the group (Number),Total,"Couples, total",Vejle,27011,27333,27697,27965,28239,28517,28855,29231,29454,29560
Families in the group (Number),Total,"Couples, total",Aabenraa,14957,14993,14967,14960,14899,14740,14704,14658,14591,14568
Families in the group (Number),Total,"Couples, total",Favrskov,12341,12357,12423,12477,12530,12587,12575,12705,12723,12703
Families in the group (Number),Total,"Couples, total",Hedensted,12064,12114,12168,12179,12212,12264,12344,12433,12407,12481
Families in the group (Number),Total,"Couples, total",Horsens,20929,21188,21566,21649,21820,22048,22344,22705,22950,23123
Families in the group (Number),Total,"Couples, total",Norddjurs,9422,9391,9431,9405,9287,9198,9151,9096,9010,8948
Families in the group (Number),Total,"Couples, total",Odder,5621,5660,5671,5756,5775,5849,5914,6014,6087,6136
Families in the group (Number),Total,"Couples, total",Randers,23447,23539,23677,23761,23601,23561,23640,23750,23647,23655
Families in the group (Number),Total,"Couples, total",Samsø,931,932,944,957,937,931,924,937,938,915
Families in the group (Number),Total,"Couples, total",Silkeborg,22392,22603,22820,23079,23308,23531,23953,24478,24852,25159
Families in the group (Number),Total,"Couples, total",Skanderborg,15140,15329,15591,15829,16060,16246,16459,16745,16765,16734
Families in the group (Number),Total,"Couples, total",Syddjurs,10717,10803,10867,10999,11057,11121,11191,11296,11368,11349
Families in the group (Number),Total,"Couples, total",Aarhus,70968,72059,73335,74513,75389,76401,77130,76952,77335,78693
Families in the group (Number),Total,"Couples, total",Herning,21634,21748,21945,22050,22089,22180,22202,22156,22134,22100
Families in the group (Number),Total,"Couples, total",Holstebro,14454,14504,14603,14668,14668,14693,14689,14576,14510,14556
Families in the group (Number),Total,"Couples, total",Ikast-Brande,10353,10387,10409,10480,10455,10490,10544,10592,10581,10673
Families in the group (Number),Total,"Couples, total",Lemvig,5444,5375,5384,5316,5276,5230,5241,5190,5083,4980
Families in the group (Number),Total,"Couples, total",Ringkøbing-Skjern,14651,14622,14605,14618,14580,14486,14443,14402,14316,14301
Families in the group (Number),Total,"Couples, total",Skive,11818,11883,11861,11873,11787,11723,11581,11504,11423,11315
Families in the group (Number),Total,"Couples, total",Struer,5593,5567,5534,5526,5504,5473,5398,5396,5329,5284
Families in the group (Number),Total,"Couples, total",Viborg,23540,23728,23990,23960,24017,23970,23909,23850,23797,23808
Families in the group (Number),Total,"Couples, total",Brønderslev,9203,9273,9345,9380,9406,9378,9381,9310,9282,9311
Families in the group (Number),Total,"Couples, total",Frederikshavn,15699,15613,15600,15591,15488,15405,15203,15194,15011,14827
Families in the group (Number),Total,"Couples, total",Hjørring,16580,16593,16548,16604,16411,16339,16235,16133,15973,15899
Families in the group (Number),Total,"Couples, total",Jammerbugt,10143,10169,10216,10243,10183,10127,10087,9997,10015,9955
Families in the group (Number),Total,"Couples, total",Læsø,468,467,464,472,457,452,444,438,442,438
Families in the group (Number),Total,"Couples, total",Mariagerfjord,10705,10724,10732,10730,10712,10666,10595,10644,10660,10588
Families in the group (Number),Total,"Couples, total",Morsø,5273,5254,5276,5240,5205,5136,5093,5074,5023,4975
Families in the group (Number),Total,"Couples, total",Rebild,7606,7683,7784,7888,7917,8000,8072,8131,8133,8143
Families in the group (Number),Total,"Couples, total",Thisted,11292,11294,11280,11240,11256,11151,11101,11041,11001,10942
Families in the group (Number),Total,"Couples, total",Vesthimmerlands,9402,9345,9389,9362,9340,9309,9237,9216,9131,9032
Families in the group (Number),Total,"Couples, total",Aalborg,49035,49572,50147,50588,51098,51615,52005,51985,51854,51768
Families in the group (Number),Total,"Single people, total",All Denmark,1543632,1564975,1584011,1605708,1623446,1637985,1661328,1682952,1703097,1730291
Families in the group (Number),Total,"Single people, total",Copenhagen,237411,239957,242728,246537,250334,252632,256724,261054,262762,265171
Families in the group (Number),Total,"Single people, total",Frederiksberg,39695,39752,39832,39434,39003,38743,38825,39208,39486,39578
Families in the group (Number),Total,"Single people, total",Dragør,2791,2810,2853,2905,2924,2964,2963,2955,2909,2948
Families in the group (Number),Total,"Single people, total",Tårnby,10793,10935,11114,11126,11185,11248,11218,11319,11365,11658
Families in the group (Number),Total,"Single people, total",Albertslund,7787,7930,7937,8019,8078,8191,8076,8119,8131,8119
Families in the group (Number),Total,"Single people, total",Ballerup,13036,12934,12863,12978,13056,13278,13662,13636,14054,14614
Families in the group (Number),Total,"Single people, total",Brøndby,9798,9932,10045,10193,10099,10174,10272,10447,10923,11460
Families in the group (Number),Total,"Single people, total",Gentofte,20207,20332,20439,20685,20321,20215,20332,19940,19995,20260
Families in the group (Number),Total,"Single people, total",Gladsaxe,19252,19406,19698,20107,20158,19879,19932,20041,20180,20419
Families in the group (Number),Total,"Single people, total",Glostrup,6682,6807,6748,6791,6785,6933,7073,7127,7196,7266
Families in the group (Number),Total,"Single people, total",Herlev,7684,7703,7768,7822,7910,7994,8134,8149,8321,8567
